sqft_living,floors,condition,grade,total_sqft,quality_score,size_category_encoded,sqft_per_bedroom,sqft_living_binned,floors_binned,grade_binned,total_sqft_binned,quality_score_binned,size_category_encoded_binned,sqft_per_bedroom_binned,price
0.5634883010666758,-1.1370395799665365,-0.3167256588941896,0.6866667080142533,-0.4983357681973313,0.3856489979417205,0.0,-1.12667898875459,2.0,0.0,3.0,2.0,3.0,0.0,2.0,892208.0
-0.1995859931404104,-1.1370395799665365,-1.7887301595076266,0.2099591154432477,-0.1525088768763599,-0.3896476670420146,1.0,2.9271813634227692,2.0,0.0,2.0,2.0,2.0,1.0,2.0,895976.0
0.7452441861041905,0.6898930087020411,1.1552788417192474,0.6866667080142533,0.7172115086331811,0.8272503481257516,0.0,-1.490094762190553,3.0,2.0,3.0,2.0,3.0,0.0,2.0,1144194.0
0.0262915150590614,-0.0201404449562094,-0.3167256588941896,-0.2667484771277578,-1.0798968554495554,-0.2817416316576873,0.0,-0.015469179489305356,2.0,1.0,2.0,1.0,2.0,0.0,2.0,1071485.0
-0.3152488290733743,-1.1370395799665365,1.1552788417192474,0.6866667080142533,0.1033470777628091,0.8272503481257516,1.0,0.18548344246326087,2.0,0.0,3.0,2.0,3.0,1.0,2.0,867788.0
1.8643196766244248,-0.0201404449562094,-0.3167256588941896,-0.7434560696987634,1.6967973822168751,-0.6154369464573912,0.0,2.6658190909908415,4.0,1.0,1.0,3.0,1.0,0.0,2.0,1134902.0
-0.5976464025200913,-0.2235732856322476,-0.3167256588941896,-0.2667484771277578,-0.17905049568390785,-0.2817416316576873,1.0,-0.8545836904885152,1.0,1.0,2.0,2.0,2.0,1.0,2.0,852882.0
-0.5901358287582106,0.6898930087020411,1.1552788417192474,-0.2667484771277578,-2.0173979329254905,0.15985971852634379,1.0,1.1799599699133378,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1015621.0
-0.5931400582629629,-0.0201404449562094,-1.7887301595076266,1.6400818931562644,-1.459348510876319,0.6114382773570971,1.0,0.348986735947136,1.0,1.0,4.0,1.0,3.0,1.0,2.0,964367.0536231884
0.2570568915819404,-0.0201404449562094,-0.3167256588941896,1.6400818931562644,-1.0109064192791135,1.0530396275411282,0.0,-0.5139780153584218,2.0,1.0,4.0,1.0,3.0,0.0,2.0,1060271.0
-2.1057696139057502,-1.1370395799665365,-0.3167256588941896,0.6866667080142533,-2.397718297385391,0.3856489979417205,1.0,1.2389749334512559,0.0,0.0,3.0,0.0,3.0,1.0,2.0,964367.0536231884
-0.7088028941959267,0.6898930087020411,-0.3167256588941896,-0.2667484771277578,-0.29020698735974326,-0.2817416316576873,1.0,1.417231425297148,1.0,2.0,2.0,2.0,2.0,1.0,2.0,964367.0536231884
